name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
circuit_2,4510,4510,21199,4.700443458980044,1,1274,22.50663513456656,0.0010422269310377,0.0002217294900221,0.2824833702882483,0.0049903847305025,128,1,8,0.0141005,0.126812,8.99344
circuit_2,4510,4510,21199,4.700443458980044,1,1274,22.50663513456656,0.0010422269310377,0.0002217294900221,0.2824833702882483,0.0049903847305025,256,1,8,0.0219238,0.1459,6.65487
circuit_2,4510,4510,21199,4.700443458980044,1,1274,22.50663513456656,0.0010422269310377,0.0002217294900221,0.2824833702882483,0.0049903847305025,512,1,8,0.036096,0.170854,4.73332
ex10hs,2548,2548,57308,22.491365777080063,4,50,11.300498211587858,0.008827066631507,0.0015698587127158,0.0196232339089481,0.0044350463938727,32,4,16,0.00930816,0.010772,1.15726
ex10hs,2548,2548,57308,22.491365777080063,4,50,11.300498211587858,0.008827066631507,0.0015698587127158,0.0196232339089481,0.0044350463938727,64,2,8,0.0110694,0.012687,1.14613
ex10hs,2548,2548,57308,22.491365777080063,4,50,11.300498211587858,0.008827066631507,0.0015698587127158,0.0196232339089481,0.0044350463938727,128,2,32,0.0157286,0.017091,1.08662
ex10hs,2548,2548,57308,22.491365777080063,4,50,11.300498211587858,0.008827066631507,0.0015698587127158,0.0196232339089481,0.0044350463938727,256,4,16,0.0247501,0.024689,0.997531
ex10hs,2548,2548,57308,22.491365777080063,4,50,11.300498211587858,0.008827066631507,0.0015698587127158,0.0196232339089481,0.0044350463938727,512,4,16,0.0425165,0.039496,0.928957
ex2,441,441,26839,60.859410430839006,28,125,25.591651285632665,0.1380031982558707,0.0634920634920634,0.2834467120181406,0.0580309552962192,32,1,8,0.00700416,0.013732,1.96055
ex2,441,441,26839,60.859410430839006,28,125,25.591651285632665,0.1380031982558707,0.0634920634920634,0.2834467120181406,0.0580309552962192,64,4,8,0.0079872,0.018125,2.26926
ex2,441,441,26839,60.859410430839006,28,125,25.591651285632665,0.1380031982558707,0.0634920634920634,0.2834467120181406,0.0580309552962192,128,2,16,0.00974848,0.017807,1.82664
